scale2,score
0.800000,0.384324
0.900000,0.359233
1.000000,0.359697
1.100000,0.370004
1.200000,0.383743
1.300000,0.449959
1.400000,0.414001
1.500000,0.401593
1.600000,0.404503
1.700000,0.403678
1.800000,0.424500
1.900000,0.427839
2.000000,0.437671
2.100000,0.438250
2.200000,0.431115
2.300000,0.428701
2.400000,0.415843
2.500000,0.424898
2.600000,0.412907
2.700000,0.415732
2.800000,0.413211
2.900000,0.420339
3.000000,0.428235
3.100000,0.426416
3.200000,0.465813
3.300000,0.452945
3.400000,0.477575
3.500000,0.524376
3.600000,0.555064
3.700000,0.580779
3.800000,0.651009
3.900000,0.673072
4.000000,0.719167
4.100000,0.607741
4.200000,0.614694
4.300000,0.594792
4.400000,0.558769
4.500000,0.500236
4.600000,0.490520
4.700000,0.462669
4.800000,0.418061
4.900000,0.404244
5.000000,0.388295
5.100000,0.365202
5.200000,0.350076
5.300000,0.341632
5.400000,0.332748
5.500000,0.329636
5.600000,0.287520
5.700000,0.275514
5.800000,0.268658
5.900000,0.242855
6.000000,0.240079
3.900000,0.744568
4.000000,0.738610
4.100000,0.739909
3.800000,0.737948
3.900000,0.744568
4.000000,0.738610
3.700000,0.695148
3.800000,0.737948
3.900000,0.744568
